6/16/2011,2:38:18 PM
Timestep(s)=0.020000
PM31,PM162,Ch 3,Ch 3,CA_Pulse
-0.0113,-0.0201,0.0003,0.0006,-8.9490
-0.0119,-0.0201,0.0003,0.0006,-8.9487
-0.0116,-0.0201,0.0000,0.0000,-8.9490
-0.0113,-0.0198,0.0003,0.0000,-8.9490
-0.0113,-0.0198,0.0003,0.0000,-8.9490
-0.0116,-0.0201,0.0003,0.0006,-8.9490
-0.0116,-0.0201,0.0003,0.0006,-8.9493
-0.0113,-0.0201,0.0003,0.0006,-8.9490
-0.0116,-0.0208,0.0003,0.0006,-8.9493
-0.0113,-0.0198,0.0003,0.0006,-8.9490
-0.0113,-0.0201,0.0000,0.0006,-8.9490
-0.0116,-0.0208,0.0006,0.0006,-8.9493
-0.0119,-0.0208,0.0003,0.0006,-8.9493
-0.0107,-0.0198,0.0003,0.0000,-8.9493
-0.0107,-0.0198,0.0000,0.0000,-8.9493
-0.0116,-0.0201,0.0003,0.0006,-8.9493
-0.0113,-0.0201,0.0003,0.0006,-8.9496
-0.0119,-0.0201,0.0006,0.0006,-8.9493
-0.0107,-0.0198,0.0003,0.0000,-8.9493
-0.0113,-0.0198,0.0003,0.0006,-8.9493
-0.0116,-0.0201,0.0000,0.0006,-8.9496
-0.0122,-0.0201,0.0003,0.0006,-8.9496
-0.0119,-0.0201,0.0006,0.0006,-8.9493
-0.0107,-0.0201,0.0003,0.0006,-8.9496
-0.0107,-0.0195,0.0000,0.0000,-8.9496
-0.0116,-0.0208,0.0003,0.0006,-8.9496
-0.0119,-0.0201,0.0003,0.0006,-8.9496
-0.0116,-0.0201,0.0003,0.0006,-8.9496
-0.0113,-0.0198,0.0003,0.0006,-8.9496
-0.0116,-0.0198,0.0003,0.0000,-8.9496
-0.0116,-0.0201,0.0003,0.0006,-8.9496
-0.0119,-0.0208,0.0003,0.0000,-8.9502
-0.0119,-0.0211,0.0003,0.0006,-8.9502
-0.0116,-0.0201,0.0003,0.0009,-8.9505
-0.0104,-0.0198,0.0003,0.0006,-8.9502
-0.0113,-0.0201,0.0003,0.0006,-8.9505
-0.0116,-0.0201,0.0003,0.0000,-8.9502
-0.0116,-0.0201,0.0003,0.0000,-8.9505
-0.0113,-0.0201,0.0003,0.0006,-8.9505
-0.0107,-0.0198,0.0003,0.0006,-8.9505
-0.0116,-0.0201,0.0003,0.0006,-8.9505
-0.0116,-0.0208,0.0006,0.0000,-8.9505
-0.0119,-0.0201,0.0003,0.0006,-8.9505
-0.0116,-0.0201,0.0003,0.0000,-8.9505
-0.0113,-0.0198,0.0003,0.0006,-8.9505
-0.0107,-0.0195,0.0003,0.0006,-8.9505
-0.0116,-0.0201,0.0003,0.0006,-8.9505
-0.0113,-0.0201,0.0003,0.0006,-8.9511
-0.0113,-0.0198,0.0003,0.0000,-8.9508
-0.0104,-0.0198,0.0003,0.0006,-8.9508
-0.0113,-0.0198,0.0003,0.0000,-8.9505
-0.0119,-0.0208,0.0003,0.0006,-8.9508
-0.0119,-0.0208,0.0003,0.0000,-8.9508
-0.0116,-0.0201,0.0006,0.0006,-8.9508
-0.0113,-0.0198,0.0006,0.0000,-8.9508
-0.0113,-0.0198,0.0003,0.0000,-8.9511
-0.0116,-0.0201,0.0003,0.0006,-8.9508
-0.0119,-0.0201,0.0003,0.0006,-8.9508
-0.0113,-0.0201,0.0003,0.0006,-8.9511
-0.0113,-0.0195,0.0000,0.0000,-8.9511
-0.0107,-0.0198,0.0003,0.0006,-8.9511
-0.0119,-0.0201,0.0003,0.0006,-8.9511
